Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/Decode/pc_o[31:0],Aquila_SoC/RISCV_CORE0/exe_branch_misprediction
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
231,231,0,00001e1c,0
232,232,0,00001e1c,0
233,233,0,00001e20,0
234,234,0,00001e24,0
235,235,0,00001e28,0
236,236,0,00001e2c,0
237,237,0,00001e0c,0
238,238,0,00001e10,0
239,239,0,00001e14,0
240,240,0,00001e18,0
241,241,0,00001e18,0
242,242,0,00001e1c,0
243,243,0,00001e1c,0
244,244,0,00001e1c,0
245,245,0,00001e20,0
246,246,0,00001e24,0
247,247,0,00001e28,0
248,248,0,00001e2c,0
249,249,0,00001e0c,0
250,250,0,00001e10,0
251,251,0,00001e14,0
252,252,0,00001e18,0
253,253,0,00001e18,0
254,254,0,00001e1c,0
255,255,0,00001e1c,0
256,256,0,00001e1c,0
257,257,0,00001e20,0
258,258,0,00001e24,0
259,259,0,00001e28,0
260,260,0,00001e2c,0
261,261,0,00001e0c,0
262,262,0,00001e10,0
263,263,0,00001e14,0
264,264,0,00001e18,0
265,265,0,00001e18,0
266,266,0,00001e1c,0
267,267,0,00001e1c,0
268,268,0,00001e1c,0
269,269,0,00001e20,0
270,270,0,00001e24,0
271,271,0,00001e28,0
272,272,0,00001e2c,1
273,273,0,00001e0c,0
274,274,0,00001e10,0
275,275,0,00001e30,0
276,276,0,00001e34,0
277,277,0,00001e38,0
278,278,0,00001e38,0
279,279,0,00001e3c,0
280,280,0,00001e40,0
281,281,0,00001e40,0
282,282,0,00001e44,0
283,283,0,00001e48,0
284,284,0,00001e30,0
285,285,0,00001e34,0
286,286,0,00001e38,0
287,287,0,00001e38,0
288,288,0,00001e3c,0
289,289,0,00001e40,0
290,290,0,00001e40,0
291,291,0,00001e30,0
292,292,0,00001e34,0
293,293,0,00001e38,0
294,294,0,00001e38,0
295,295,0,00001e3c,0
296,296,0,00001e40,1
297,297,0,00001e40,1
298,298,0,00001e30,0
299,299,0,00001e34,0
300,300,0,00001e44,0
301,301,0,00001e48,0
302,302,0,00001e4c,0
303,303,0,00004d64,0
304,304,0,00004d68,0
305,305,0,00004d6c,0
306,306,0,00004d70,0
307,307,0,00004d74,0
308,308,0,00004d78,0
309,309,0,00001dd0,0
310,310,0,00001dd4,0
311,311,0,00001dd8,0
312,312,0,00001ddc,0
313,313,0,00001de0,0
314,314,0,00001de4,0
315,315,0,00001de4,0
316,316,0,00001de8,0
317,317,0,00001dec,0
318,318,0,00001df0,0
319,319,0,00001df4,0
320,320,0,00001df8,0
321,321,0,00001dfc,0
322,322,0,00001e00,0
323,323,0,00001e04,0
324,324,0,00001e08,0
325,325,0,00001e0c,0
326,326,0,00001e10,0
327,327,0,00001e14,0
328,328,0,00001e18,0
329,329,0,00001e18,0
330,330,0,00001e1c,0
331,331,0,00001e1c,0
332,332,0,00001e1c,0
333,333,0,00001e20,0
334,334,0,00001e24,0
335,335,0,00001e28,0
336,336,0,00001e2c,0
337,337,0,00001e0c,0
338,338,0,00001e10,0
339,339,0,00001e14,0
340,340,0,00001e18,0
341,341,0,00001e18,0
342,342,0,00001e1c,0
343,343,0,00001e1c,0
344,344,0,00001e1c,0
345,345,0,00001e20,0
346,346,0,00001e24,0
347,347,0,00001e28,0
348,348,0,00001e2c,0
349,349,0,00001e0c,0
350,350,0,00001e10,0
351,351,0,00001e14,0
352,352,0,00001e18,0
353,353,0,00001e18,0
354,354,0,00001e1c,0
355,355,0,00001e1c,0
356,356,0,00001e1c,0
357,357,0,00001e20,0
358,358,0,00001e24,0
359,359,0,00001e28,0
360,360,0,00001e2c,0
361,361,0,00001e0c,0
362,362,0,00001e10,0
363,363,0,00001e14,0
364,364,0,00001e18,0
365,365,0,00001e18,0
366,366,0,00001e1c,0
367,367,0,00001e1c,0
368,368,0,00001e1c,0
369,369,0,00001e20,0
370,370,0,00001e24,0
371,371,0,00001e28,0
372,372,0,00001e2c,0
373,373,0,00001e0c,0
374,374,0,00001e10,0
375,375,0,00001e14,0
376,376,0,00001e18,0
377,377,0,00001e18,0
378,378,0,00001e1c,0
379,379,0,00001e1c,0
380,380,0,00001e1c,0
381,381,0,00001e20,0
382,382,0,00001e24,0
383,383,0,00001e28,0
